Name,Generation,Type1,Type2,Height,Weight
Bulbasaur,1,Grass,Poison,7,69
Ivysaur,1,Grass,Poison,10,130
Venusaur,1,Grass,Poison,20,1000
Charmander,1,Fire,,6,85
Charmeleon,1,Fire,,11,190
Charizard,1,Fire,Flying,17,905
Squirtle,1,Water,,5,90
Wartortle,1,Water,,10,225
Blastoise,1,Water,,16,855
Caterpie,1,Bug,,3,29
Metapod,1,Bug,,7,99
Butterfree,1,Bug,Flying,11,320
Weedle,1,Bug,Poison,3,32
Kakuna,1,Bug,Poison,6,100
Beedrill,1,Bug,Poison,10,295
Pidgey,1,Normal,Flying,3,18
Pidgeotto,1,Normal,Flying,11,300
Pidgeot,1,Normal,Flying,15,395
Rattata,1,Normal,,3,35
Raticate,1,Normal,,7,185
Spearow,1,Normal,Flying,3,20
Fearow,1,Normal,Flying,12,380
Ekans,1,Poison,,20,69
Arbok,1,Poison,,35,650
Pikachu,1,Electric,,4,60
Raichu,1,Electric,,8,300
Sandshrew,1,Ground,,6,120
Sandslash,1,Ground,,10,295
Nidoran F,1,Poison,,4,70
Nidorina,1,Poison,,8,200
Nidoqueen,1,Poison,Ground,13,600
Nidoran M,1,Poison,,5,90
Nidorino,1,Poison,,9,195
Nidoking,1,Poison,Ground,14,620
Clefairy,1,Fairy,,6,75
Clefable,1,Fairy,,13,400
Vulpix,1,Fire,,6,99
Ninetales,1,Fire,,11,199
Jigglypuff,1,Normal,Fairy,5,55
Wigglytuff,1,Normal,Fairy,10,120
Zubat,1,Poison,Flying,8,75
Golbat,1,Poison,Flying,16,550
Oddish,1,Grass,Poison,5,54
Gloom,1,Grass,Poison,8,86
Vileplume,1,Grass,Poison,12,186
Paras,1,Bug,Grass,3,54
Parasect,1,Bug,Grass,10,295
Venonat,1,Bug,Poison,10,300
Venomoth,1,Bug,Poison,15,125
Diglett,1,Ground,,2,8
Dugtrio,1,Ground,,7,333
Meowth,1,Normal,,4,42
Persian,1,Normal,,10,320
Psyduck,1,Water,,8,196
Golduck,1,Water,,17,766
Mankey,1,Fighting,,5,280
Primeape,1,Fighting,,10,320
Growlithe,1,Fire,,7,190
Arcanine,1,Fire,,19,1550
Poliwag,1,Water,,6,124
Poliwhirl,1,Water,,10,200
Poliwrath,1,Water,Fighting,13,540
Abra,1,Psychic,,9,195
Kadabra,1,Psychic,,13,565
Alakazam,1,Psychic,,15,480
Machop,1,Fighting,,8,195
Machoke,1,Fighting,,15,705
Machamp,1,Fighting,,16,1300
Bellsprout,1,Grass,Poison,7,40
Weepinbell,1,Grass,Poison,10,64
Victreebel,1,Grass,Poison,17,155
Tentacool,1,Water,Poison,9,455
Tentacruel,1,Water,Poison,16,550
Geodude,1,Rock,Ground,4,200
Graveler,1,Rock,Ground,10,1050
Golem,1,Rock,Ground,14,3000
Ponyta,1,Fire,,10,300
Rapidash,1,Fire,,17,950
Slowpoke,1,Water,Psychic,12,360
Slowbro,1,Water,Psychic,16,785
Magnemite,1,Electric,Steel,3,60
Magneton,1,Electric,Steel,10,600
Farfetch'd,1,Normal,Flying,8,150
Doduo,1,Normal,Flying,14,392
Dodrio,1,Normal,Flying,18,852
Seel,1,Water,,11,900
Dewgong,1,Water,Ice,17,1200
Grimer,1,Poison,,9,300
Muk,1,Poison,,12,300
Shellder,1,Water,,3,40
Cloyster,1,Water,Ice,15,1325
Gastly,1,Ghost,Poison,13,1
Haunter,1,Ghost,Poison,16,1
Gengar,1,Ghost,Poison,15,405
Onix,1,Rock,Ground,88,2100
Drowzee,1,Psychic,,10,324
Hypno,1,Psychic,,16,756
Krabby,1,Water,,4,65
Kingler,1,Water,,13,600
Voltorb,1,Electric,,5,104
Electrode,1,Electric,,12,666
Exeggcute,1,Grass,Psychic,4,25
Exeggutor,1,Grass,Psychic,20,1200
Cubone,1,Ground,,4,65
Marowak,1,Ground,,10,450
Hitmonlee,1,Fighting,,15,498
Hitmonchan,1,Fighting,,14,502
Lickitung,1,Normal,,12,655
Koffing,1,Poison,,6,10
Weezing,1,Poison,,12,95
Rhyhorn,1,Ground,Rock,10,1150
Rhydon,1,Ground,Rock,19,1200
Chansey,1,Normal,,11,346
Tangela,1,Grass,,10,350
Kangaskhan,1,Normal,,22,800
Horsea,1,Water,,4,80
Seadra,1,Water,,12,250
Goldeen,1,Water,,6,150
Seaking,1,Water,,13,390
Staryu,1,Water,,8,345
Starmie,1,Water,Psychic,11,800
Mr. Mime,1,Psychic,Fairy,13,545
Scyther,1,Bug,Flying,15,560
Jynx,1,Ice,Psychic,14,406
Electabuzz,1,Electric,,11,300
Magmar,1,Fire,,13,445
Pinsir,1,Bug,,15,550
Tauros,1,Normal,,14,884
Magikarp,1,Water,,9,100
Gyarados,1,Water,Flying,65,2350
Lapras,1,Water,Ice,25,2200
Ditto,1,Normal,,3,40
Eevee,1,Normal,,3,65
Vaporeon,1,Water,,10,290
Jolteon,1,Electric,,8,245
Flareon,1,Fire,,9,250
Porygon,1,Normal,,8,365
Omanyte,1,Rock,Water,4,75
Omastar,1,Rock,Water,10,350
Kabuto,1,Rock,Water,5,115
Kabutops,1,Rock,Water,13,405
Aerodactyl,1,Rock,Flying,18,590
Snorlax,1,Normal,,21,4600
Articuno,1,Ice,Flying,17,554
Zapdos,1,Electric,Flying,16,526
Moltres,1,Fire,Flying,20,600
Dratini,1,Dragon,,18,33
Dragonair,1,Dragon,,40,165
Dragonite,1,Dragon,Flying,22,2100
Mewtwo,1,Psychic,,20,1220
Mew,1,Psychic,,4,40
Chikorita,2,Grass,,9,64
Bayleef,2,Grass,,12,158
Meganium,2,Grass,,18,1005
Cyndaquil,2,Fire,,5,79
Quilava,2,Fire,,9,190
Typhlosion,2,Fire,,17,795
Totodile,2,Water,,6,95
Croconaw,2,Water,,11,250
Feraligatr,2,Water,,23,888
Sentret,2,Normal,,8,60
Furret,2,Normal,,18,325
Hoothoot,2,Normal,Flying,7,212
Noctowl,2,Normal,Flying,16,408
Ledyba,2,Bug,Flying,10,108
Ledian,2,Bug,Flying,14,356
Spinarak,2,Bug,Poison,5,85
Ariados,2,Bug,Poison,11,335
Crobat,2,Poison,Flying,18,750
Chinchou,2,Water,Electric,5,120
Lanturn,2,Water,Electric,12,225
Pichu,2,Electric,,3,20
Cleffa,2,Fairy,,3,30
Igglybuff,2,Normal,Fairy,3,10
Togepi,2,Fairy,,3,15
Togetic,2,Fairy,Flying,6,32
Natu,2,Psychic,Flying,2,20
Xatu,2,Psychic,Flying,15,150
Mareep,2,Electric,,6,78
Flaaffy,2,Electric,,8,133
Ampharos,2,Electric,,14,615
Bellossom,2,Grass,,4,58
Marill,2,Water,Fairy,4,85
Azumarill,2,Water,Fairy,8,285
Sudowoodo,2,Rock,,12,380
Politoed,2,Water,,11,339
Hoppip,2,Grass,Flying,4,5
Skiploom,2,Grass,Flying,6,10
Jumpluff,2,Grass,Flying,8,30
Aipom,2,Normal,,8,115
Sunkern,2,Grass,,3,18
Sunflora,2,Grass,,8,85
Yanma,2,Bug,Flying,12,380
Wooper,2,Water,Ground,4,85
Quagsire,2,Water,Ground,14,750
Espeon,2,Psychic,,9,265
Umbreon,2,Dark,,10,270
Murkrow,2,Dark,Flying,5,21
Slowking,2,Water,Psychic,20,795
Misdreavus,2,Ghost,,7,10
Unown,2,Psychic,,5,50
Wobbuffet,2,Psychic,,13,285
Girafarig,2,Normal,Psychic,15,415
Pineco,2,Bug,,6,72
Forretress,2,Bug,Steel,12,1258
Dunsparce,2,Normal,,15,140
Gligar,2,Ground,Flying,11,648
